number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_gat_heads,params_lr,params_num_layers_mlp,params_num_layers_msg,state
1,0.8135305643081665,2025-05-10 18:32:01.538848,2025-05-10 18:32:47.059810,0 days 00:00:45.520962,32,0.3,8,0.007844545901841155,1,3,COMPLETE
63,0.8085862994194031,2025-05-10 18:43:23.118269,2025-05-10 18:44:40.624169,0 days 00:01:17.505900,32,0.2,8,0.008997839350654152,2,2,COMPLETE
188,0.8061975240707397,2025-05-10 19:04:59.532178,2025-05-10 19:06:19.982640,0 days 00:01:20.450462,32,0.2,8,0.009617609835468595,2,2,COMPLETE
23,0.8058736324310303,2025-05-10 18:36:42.049340,2025-05-10 18:37:24.709340,0 days 00:00:42.660000,32,0.22,8,0.008660403883193337,1,2,COMPLETE
21,0.805121123790741,2025-05-10 18:35:57.559614,2025-05-10 18:36:40.151699,0 days 00:00:42.592085,32,0.22,8,0.008764341862605784,2,2,COMPLETE
42,0.804966926574707,2025-05-10 18:38:44.289755,2025-05-10 18:39:36.099946,0 days 00:00:51.810191,32,0.2,8,0.00906753777795494,2,2,COMPLETE
183,0.8046923875808716,2025-05-10 19:02:30.737931,2025-05-10 19:03:31.395858,0 days 00:01:00.657927,32,0.2,8,0.009779208963738774,2,2,PRUNED
0,0.8037285208702087,2025-05-10 18:31:17.891032,2025-05-10 18:32:01.538520,0 days 00:00:43.647488,32,0.28,8,0.008156575567571043,3,2,COMPLETE
43,0.803530216217041,2025-05-10 18:39:36.100238,2025-05-10 18:40:53.917518,0 days 00:01:17.817280,32,0.2,8,0.00957267310705091,2,2,COMPLETE
138,0.803438127040863,2025-05-10 18:55:55.236944,2025-05-10 18:56:47.961176,0 days 00:00:52.724232,32,0.2,8,0.00974563132388881,2,2,PRUNED
