epoch,step,test_loss,train_loss,val_loss
0,30,,,0.056058578193187714
1,49,,0.04370850324630737,
1,61,,,0.04576723277568817
2,92,,,0.04523449391126633
3,99,,0.04163646697998047,
3,123,,,0.04471176862716675
4,149,,0.03695712238550186,
4,154,,,0.04336407035589218
5,185,,,0.042178548872470856
6,199,,0.03221290558576584,
6,216,,,0.03984593600034714
7,247,,,0.038551364094018936
8,249,,0.03992122411727905,
8,278,,,0.03686588630080223
9,299,,0.04824361950159073,
9,309,,,0.03640288487076759
10,340,,,0.035551656037569046
11,349,,0.030282871797680855,
11,371,,,0.035195909440517426
12,399,,0.029484355822205544,
12,402,,,0.0345301553606987
13,433,,,0.03522290289402008
14,449,,0.03029973804950714,
14,464,,,0.034623678773641586
15,495,,,0.03351469710469246
16,499,,0.037066198885440826,
16,526,,,0.03301691263914108
17,549,,0.03390341252088547,
17,557,,,0.032955050468444824
18,588,,,0.03252977877855301
19,599,,0.026914160698652267,
19,619,,,0.032297562807798386
20,649,,0.023348389193415642,
20,650,,,0.03247838839888573
21,681,,,0.03251764550805092
22,699,,0.021144069731235504,
22,712,,,0.032464418560266495
23,743,,,0.030670862644910812
24,749,,0.02494058758020401,
24,774,,,0.03069053217768669
25,799,,0.02841736562550068,
25,805,,,0.030307983979582787
26,836,,,0.030699949711561203
27,849,,0.025933053344488144,
27,867,,,0.030201228335499763
28,898,,,0.02997661381959915
29,899,,0.035535357892513275,
29,929,,,0.029665522277355194
30,949,,0.023850129917263985,
30,960,,,0.029817279428243637
31,991,,,0.02878541871905327
32,999,,0.029793011024594307,
32,1022,,,0.02892727591097355
33,1049,,0.036130405962467194,
33,1053,,,0.02814491093158722
34,1084,,,0.02978890761733055
35,1099,,0.022515442222356796,
35,1115,,,0.02797430008649826
36,1146,,,0.028882212936878204
37,1149,,0.024744419381022453,
37,1177,,,0.02829068712890148
38,1199,,0.024770719930529594,
38,1208,,,0.027620334178209305
39,1239,,,0.02784031629562378
40,1249,,0.028276896104216576,
40,1270,,,0.030926521867513657
41,1299,,0.02396501787006855,
41,1301,,,0.028065526857972145
42,1332,,,0.026975788176059723
43,1349,,0.020717047154903412,
43,1363,,,0.02846110612154007
44,1394,,,0.026919491589069366
45,1399,,0.024395652115345,
45,1425,,,0.026510069146752357
46,1449,,0.02629588358104229,
46,1456,,,0.026342570781707764
47,1487,,,0.02669752947986126
48,1499,,0.022440658882260323,
48,1518,,,0.026078034192323685
49,1549,,0.020824849605560303,
49,1549,,,0.025678079575300217
50,1580,,,0.02564387582242489
51,1599,,0.025246500968933105,
51,1611,,,0.026836341246962547
52,1642,,,0.02580893412232399
53,1649,,0.027261218056082726,
53,1673,,,0.02731930837035179
54,1699,,0.024711353704333305,
54,1704,,,0.02514532394707203
55,1735,,,0.025851696729660034
56,1749,,0.02346459962427616,
56,1766,,,0.02592202089726925
57,1797,,,0.024901488795876503
58,1799,,0.027580708265304565,
58,1828,,,0.024622080847620964
59,1849,,0.018577149137854576,
59,1859,,,0.025239532813429832
60,1890,,,0.026430709287524223
61,1899,,0.02595692127943039,
61,1921,,,0.02455967478454113
62,1949,,0.022992024198174477,
62,1952,,,0.025233110412955284
63,1983,,,0.02467375434935093
64,1999,,0.027157824486494064,
64,2014,,,0.025990480557084084
65,2045,,,0.026686441153287888
66,2049,,0.019543804228305817,
66,2076,,,0.024787312373518944
67,2099,,0.023148715496063232,
67,2107,,,0.024648768827319145
68,2138,,,0.024044150486588478
69,2149,,0.0233309268951416,
69,2169,,,0.02361033484339714
70,2199,,0.02610420621931553,
70,2200,,,0.027124105021357536
71,2231,,,0.023596549406647682
72,2249,,0.023583168163895607,
72,2262,,,0.02457188069820404
73,2293,,,0.024506211280822754
74,2299,,0.018184062093496323,
74,2324,,,0.023786654695868492
75,2349,,0.0201460849493742,
75,2355,,,0.024367935955524445
76,2386,,,0.024893078953027725
77,2399,,0.027471870183944702,
77,2417,,,0.029272107407450676
78,2448,,,0.02351507917046547
79,2449,,0.020361661911010742,
79,2479,,,0.023271309211850166
80,2499,,0.025173325091600418,
80,2510,,,0.023744549602270126
81,2541,,,0.022832073271274567
82,2549,,0.02669212967157364,
82,2572,,,0.02272401750087738
83,2599,,0.0226344782859087,
83,2603,,,0.025215070694684982
84,2634,,,0.024420691654086113
85,2649,,0.019901921972632408,
85,2665,,,0.02271481789648533
86,2696,,,0.02341177873313427
87,2699,,0.01869293674826622,
87,2727,,,0.024669110774993896
88,2749,,0.02911965548992157,
88,2758,,,0.024464543908834457
89,2789,,,0.02235395461320877
90,2799,,0.02181604877114296,
90,2820,,,0.0236827302724123
91,2849,,0.021914610639214516,
91,2851,,,0.02247551642358303
92,2882,,,0.022566305473446846
93,2899,,0.019469818100333214,
93,2913,,,0.022886071354150772
94,2944,,,0.022686908021569252
95,2949,,0.01794188842177391,
95,2975,,,0.022325513884425163
96,2999,,0.019225886091589928,
96,3006,,,0.02340070530772209
97,3037,,,0.023332742974162102
98,3049,,0.017456673085689545,
98,3068,,,0.021742137148976326
99,3099,,0.024132858961820602,
99,3099,,,0.022037269547581673
100,3100,0.023433774709701538,,
